Route ID,Direction,Route Length (miles),Stops per Mile,Mean Stop Spacing (ft),Stop Spacing Std Dev (ft),% Bus Lane Coverage,Stop Signs per Mile,Street Lights per Mile,Right Angle Turns,Curvature per Mile,Borough,Type
BX33,W,2.723024116984806,5.508581399054755,1026.960525896627,415.0571866306242,0.0,1.101716279810951,8.446491478550623,8.0,122.94214279816345,Bronx,Local
BX34,N,3.999150482891482,5.251115228056258,1055.774476374262,622.2726424379364,3.497150611282493,1.000212424391668,9.001911819525015,7.0,123.15485439987356,Bronx,Local
BX34,S,3.985001346669116,5.520700769245364,1001.9382676134034,565.6494339472681,0.1628129546650704,0.2509409440566074,9.535755874151082,7.0,123.15485439987356,Bronx,Local
BX35,E,4.024259696112589,5.466844006427287,1011.8138664511652,489.2727794548659,29.96257724595183,0.4969858187661169,10.933688012854574,14.0,177.49798224699893,Bronx,Local
BX35,W,4.160520456934747,5.528154527317285,998.4946964191142,531.6568208010513,27.304657722900096,0.9614181786638756,10.8159545099686,14.0,177.49798224699893,Bronx,Local
BX38,E,8.384828600586836,5.128309956984753,1054.092738359488,564.8341610939359,24.976810010153404,0.5963151112772969,8.825463646903993,27.0,197.7591602809855,Bronx,Local
BX39,N,7.396992671815934,5.813173259429993,929.9020273073298,249.2964320208382,4.975561149304782,0.4055702274020925,9.868875533450918,10.0,73.4652266026333,Bronx,Local
BX39,S,7.687103879542425,5.593784170711581,966.3777544765863,383.57797157766,3.731764487562089,0.2601760079400735,9.756600297752756,10.0,73.4652266026333,Bronx,Local
BX4,N,4.404866072890646,5.902563113102275,930.3077145945044,278.3911575565254,0.0,0.2270216581962413,4.540433163924827,6.0,87.65170000534634,Bronx,Local
BX4,S,4.663513443801753,6.004056884882497,911.9759622543957,300.2824680284122,4.940913919703624,0.2144306030315177,4.931903869724909,6.0,87.65170000534634,Bronx,Local
BX40,E,8.34616553019443,5.2718820206499055,1024.8301591276504,330.8557887798592,1.6071023449482893,2.036863507978373,10.423948540830494,11.0,101.6350076121903,Bronx,Local
BX41,S,5.33261270743445,5.063184124051989,1077.7520293067744,445.23437851668166,76.17075059223502,0.1875253379278514,11.063994937743235,4.0,52.5702967240578,Bronx,Local
BX41+,N,5.554606552528004,2.1603690354159437,2666.211145213442,775.6127256633001,73.00155246016679,0.1800307529513286,10.801845177079716,4.0,54.67172228879563,Bronx,SBS
BX41+,S,5.332611321494769,2.2503046399857087,2547.413222201329,862.623830934493,76.17074743852322,0.1875253866654757,11.063997813263068,4.0,54.67172228879563,Bronx,SBS
BX46,E,3.1477787012635288,5.082949444183464,1108.011494032763,502.535895509695,0.0,3.4945277428761314,3.4945277428761314,8.0,178.8980552826237,Bronx,Local
BX46,W,2.0595071149006303,5.826636826442326,988.5634151523026,341.1097027945603,0.0,2.427765344350969,5.341083757572132,8.0,178.8980552826237,Bronx,Local
BX4A,N,3.4876368377030715,6.021269122111471,920.7361251536108,383.89473072753447,0.0,0.2867271010529272,8.028358829481961,8.0,158.34056928049978,Bronx,Local
BX4A,S,3.2579557450758667,6.138818806924668,905.3687542945266,320.382218409937,0.0,0.3069409403462334,7.0596416279633685,8.0,158.34056928049978,Bronx,Local
BX6,W,5.0083976141212805,4.991616466215059,1101.8474751066817,663.4414798114598,21.400128187150656,0.9983232932430118,9.783568273781516,15.0,160.18214789687374,Bronx,Local
BX6+,E,6.187785190624672,3.393782969683212,1633.5703934488074,993.6052013668816,18.072676533274947,1.454478415578519,7.9188269292608275,16.0,170.6785435201499,Bronx,SBS
BX6+,W,5.008396814352232,2.9949703579827163,1888.8810842699847,1053.3583311113812,21.400122931733847,0.9983234526609054,9.783569836076872,16.0,170.6785435201499,Bronx,SBS
BX7,N,5.923957183571573,6.077018939271854,893.6712551216544,329.1880464825324,0.2103774410437856,0.3376121632928808,10.803589225372184,8.0,70.20799251071718,Bronx,Local
BX7,S,6.071761168134745,6.258480685872179,866.4496387534073,321.7771462615763,0.2052611254889527,0.164696860154531,10.869992770199048,8.0,70.20799251071718,Bronx,Local
BX9,N,6.397750337128411,5.626977938022878,965.1456049886932,257.494424366028,8.43284760781208,0.1563049427228577,11.410260818768617,7.0,67.45102139798881,Bronx,Local
BX9,S,6.1435012561013815,5.6970770479195325,953.1490883402524,261.9100053043218,12.450317211508215,0.162773629940558,11.71970135572018,7.0,67.45102139798881,Bronx,Local
BX92,N,1.519688253667949,2.632118785116304,2674.65132645559,106.52029774655963,42.96314885503307,0.658029696279076,12.502564229302443,2.0,56.53509846531402,Bronx,Local
BX92,S,1.5409181249864567,2.5958549874511707,2711.86854578676,77.55940583337149,40.02718186425832,0.6489637468627927,13.628238684118646,2.0,56.53509846531402,Bronx,Local
BX95,N,2.372394826922621,1.6860599907767653,4175.414895383813,1194.68446316349,0.2908400811001911,0.4215149976941913,7.1657549608012525,3.0,110.35418286794032,Bronx,Local
BX95,S,1.7421697017713609,2.295987581423886,3066.1474597209103,265.31105802265665,0.0,0.5739968953559715,5.165972058203744,3.0,110.35418286794032,Bronx,Local
J90,E,3.780400918316878,2.3806998766699614,2495.0646060891395,846.7628156610873,0.3301293147417068,0.2645222085188846,9.25827729816096,6.0,67.16486076798164,Unknown,Local
J90,W,3.556742266317592,2.5304054458008243,2347.4498957696105,473.04085249771447,0.3508686126572012,0.281156160644536,8.715840979980618,6.0,67.16486076798164,Unknown,Local
L90,E,3.097171027012227,2.5830023367219166,2336.135398417466,1054.415619096572,0.0,2.260127044631677,11.300635223158384,13.0,218.03763965764756,Unknown,Local
L90,W,2.861690809233263,2.795550090243136,2158.513903105505,972.523084143452,0.0,2.795550090243136,10.48331283841176,13.0,218.03763965764756,Unknown,Local
L92,E,3.2069491447183047,6.236456862104928,891.1801461093656,322.9603191877954,56.23857428378939,0.3118228431052464,16.52661068457806,7.0,127.41364173664034,Unknown,Local
L92,W,3.600513619629254,6.110239350313956,905.259360127865,309.0195268955285,55.83528519753954,0.2777381522869979,14.99786022349789,7.0,127.41364173664034,Unknown,Local
M10,N,5.133872816919749,8.375743134556144,645.3998141659027,163.6447427491842,1.1513256206555604,0.1947847240594452,19.08890295782563,6.0,79.92096959613096,Manhattan,Local
